job title,job link,job location,salary,skills required,company name
Data Scientists Team Lead,https://wuzzuf.net/jobs/p/0g7i551BjSzq-Data-Scientists-Team-Lead-Smart-Vision-Technologies-Cairo-Egypt,"Sheraton, Cairo, Egypt ","Confidential, Competitive salary and benefits package.","['Data Science', 'Data Analysis', 'Analytics', 'Computer Science', 'Information Technology (IT)', 'SQL', 'Agile']",Smart Vision Technologies
Data Analyst Lead / Manager,https://wuzzuf.net/jobs/p/Z2oRrb24292t-Data-Analyst-Lead-Manager-WUZZUF-Cairo-Egypt,"Maadi, Cairo, Egypt ",Confidential,"['Analysis', 'business', 'Computer Engineering', 'Computer Science', 'Data Analysis', 'Engineering', 'Microsoft Excel', 'Python', 'SQL', 'Data', 'Statistical Analysis', 'Statistics', 'Business Analysis', 'Tableau', 'Power BI', 'Data visualization', 'Mathematics']",WUZZUF
Data Analyst,https://wuzzuf.net/jobs/p/wbK72hYhmTCd-Data-Analyst-United-Group-Steel-Sharqia-Egypt,"10th of Ramadan City, Sharqia, Egypt ",Confidential,"['Data Entry', 'Financial Data Analysis', 'Data Analysis', 'Microsoft Excel', 'Financial Accounting', 'Business Analysis', 'Analysis', 'Analyst', 'analytical', 'business', 'Computer Science', 'Data', 'Data Analyst', 'Economics', 'Information Technology (IT)', 'SQL', 'Statistics']",United Group Steel
Data scientist/Statistician,https://wuzzuf.net/jobs/p/TU7iwLbeRqBU-Data-scientistStatistician-COB-Solution-Cairo-Egypt,"Maadi, Cairo, Egypt ",Confidential,"['Algorithms', 'Computer Science', 'Data', 'Data Mining', 'Data Science', 'Machine Learning', 'Mathematics', 'Statistics', 'Information Technology (IT)']",COB Solution
Senior Data Modeler (Banking Experience Required),https://wuzzuf.net/jobs/p/oLYTmxxTsn8Y-Senior-Data-Modeler-Banking-Experience-Required-BBI-Consultancy-Cairo-Egypt,"Maadi, Cairo, Egypt ",Confidential,"['Computer Science', 'Database', 'Engineering', 'Python', 'SQL', 'Programming', 'Data Warehousing', 'Data Modeling', 'analytical', 'data models', 'Modeling', 'Data Engineering', 'Mysql Database', 'Cloudera', 'Database SQL Server']",BBI
Data Center Design Leader,https://wuzzuf.net/jobs/p/Z39qPIld9lfd-Data-Center-Design-Leader-Mobi-Egypt-Cairo-Egypt,"Cairo, Egypt ",Confidential,"['Design', 'Data center', 'Information Technology (IT)', 'Computer Science', 'Engineering', 'CDCDP certification', 'DCCA certification', 'Uptime Institute Certified', 'Data Center design', 'Data Center construction', 'Data Center operations and maintenance', 'CDCDP', 'DCCA', 'Uptime Certified']",Mobi Egypt
Automation and Data Integration Manager,https://wuzzuf.net/jobs/p/Zp4EPITtZocr-Automation-and-Data-Integration-Manager-BariQ-Giza-Egypt,"6th of October, Giza, Egypt ",Confidential,"['Computer Science', 'Data Management', 'Data Integration', 'Integration', 'SQL', 'Data Modeling', 'Oracle', 'BI Tools', 'Tableau', 'Power BI', 'Dundas Bi', 'CRM Administration', 'SCADA Systems', 'AVEVA', 'SAP', 'Odoo', 'Dashboards', 'PLC Optimization']",BariQ
"Data Analyst -Internship ""Alexandria""",https://wuzzuf.net/internship/eJ5MCTLO1OfU-Data-Analyst--Internship-Alexandria-Egyptian-Abrasives-Co-Alexandria-Egypt,"Alexandria, Egypt ",Confidential,"['Analysis', 'Data Analysis', 'Information Technology (IT)', 'Computer Science', 'Training', 'Communication']",Egyptian Abrasives Co.
Data Engineer,https://wuzzuf.net/jobs/p/qNomjSPCqDVm-Data-Engineer-Coformatique-Cairo-Egypt,"Cairo, Egypt ",Confidential,"['Spark', 'kafka', 'Hive', 'Computer Engineering', 'Computer Science', 'Data Modeling', 'Information Technology (IT)', 'Programming', 'SQL', 'Python', 'Troubleshooting', 'Engineering', 'Data']",Coformatique
Data Management Lead,https://wuzzuf.net/jobs/p/8l0tQm7tFrTf-Data-Management-Lead-REI-Call-Center-Alexandria-Egypt,"Alexandria, Egypt ",Confidential,"['Data Management', 'Real Estate', 'Information Technology (IT)', 'Data', 'Automation', 'Visualization', 'Database SQL Server', 'Management', 'Computer Science', 'Communication']",REI Call Center
